,article,dataset,Faithful Summary,Generic Summary
52,"A Japanese priest has vowed to crack down onto drink driving in the most cinematic way possible: dressing up as a superhero and patrolling the streets on his motorbike. Shinjiro Kumagai is a 'mild mannered' clergyman at a local Buddhist temple called Gokurakuji in Kitakyushu, southwest Japan. But after the days work is done, he dresses up as iconic Japanese sci-fi TV hero Kamen Rider 1 and takes to the streets to lay down the law, according to Japan Today. Bizarre images depict Kumagai riding around Kitakyushu in full Kamen Rider gear - which makes him appear like a giant grasshopper- and the trademark Cyclone motorcycle, fitted with fake jets. Scroll down for video . Japanese priest Shinjiro Kumagai (pictured) has vowed to crack down on drink driving by dressing as a superhero in his spare time and laying down the law . Unlike some superheros, Kumagai has the full support of police and even dons an armband certifying him as an official drink-drive patrolman. He's also funded by his church, where the head Buddhist Priest Fukumitsu - also a devout Kamen Rider fan - funds his costume and bike. Kumagai said his sponsor was more than happy to help the cause . 'He is a real fan of Kamen Rider 1 and has been collecting memorabilia for 20 years, so when he heard about what I was doing he jumped at the chance to help.' Images also depict Kumagai undertaking some more mundane acts like eating street food and feeding cows. While the he takes the patrol work very seriously, pictures depict Kumagai undertaking some more mundane acts in his superhero attire like feeding cows . Unlike some superheros, Kumagai has the full support of police and even dons an armband certifying him as an official drink-drive patrolman . Kamen Rider was a popular superhero series running in Japan from 1971 to 1973 and later adapted into a comic book. The show depicts a man who was mutated into a grasshopper-esqe cyborg by a terrorist organization and his battle to defeat them. Dressing up as cartoons or superheroes - known as Cosplay - is a huge industry in Japan with fans spending thousands to look like their fictitious idols. An image snapped by someone who spotted Kumagai on patrol: the popularity of Kamen Rider means locals have welcomed the helmeted protector with open arms . The popularity of the show means locals have welcomed the helmeted protector with open arms. Shopkeeper Kageki Umeta, 43, said: 'he is doing a very good job. On one hand it is quite geeky and comical although the kids love to see him riding around.' 'But on the other he is actually raising awareness of the dangers of drink driving and is catching people at it who he then reports to the police. 'Every city should have a Kamen Rider.'",cnndm,"Shinjiro Kumagai, a Buddhist priest from Kitakyushu in Southwest Japan, has become a superhero in his spare time to crack down on drink driving. He dresses up as Kamen Rider 1, an iconic Japanese sci-fi TV hero, and patrols the streets on his motorbike equipped with fake jets, which is sponsored by his church. Kumagai has the full support of police and is an official drink-drive patrolman.","A Buddhist priest in southwest Japan has dressed up as the iconic Japanese sci-fi TV hero Kamen Rider 1 to patrol the streets of Kitakyushu on his motorcycle and crack down on drink driving. Shinjiro Kumagai is an avid fan of Kamen Rider 1 and is supported by his church and local police to act as an official drink-drive patrolman adorned with an armband. Dressing up as cartoons or superheroes, also known as Cosplay, is a popular industry in Japan where fans spend thousands to replicate their fictitious idols."
53,"A young Syrian boy has revealed how he saw depraved Islamic State militants playing football with a severed head inside the besieged Yarmouk refugee camp. Amjad Yaaqub, 16, said he stumbled on the barbaric scene shortly after the terrorists beat him unconscious when they burst into his family home at the camp in the Syrian capital Damascus. The schoolboy said the ISIS fighters were looking for his brother, who is a member of the Palestinian rebel group who ran and defended the camp for several years before ISIS carried out a bloody assault that has left more than 200 people dead in just seven days. His story was revealed as refugees in Yarmouk spoke of the daily atrocities they have witnessed since ISIS seized control of 90 per cent of the camp, including innocent children being slaughtered in front of their anguished parents. Scroll down for video . Scene of death: A destroyed graveyard is photographed in Yarmouk camp following the intense fighting . Innocent: Palestinians, who fled the Yarmouk refugee camp, sit on mattresses inside a school in Damascus . After enduring two years of famine and fighting, Ibrahim Abdel Fatah said he saw heads cut off by ISIS in the Palestinian camp of Yarmouk. That was it. He fled and hasn't looked back. Unshaven, pale and gaunt, he has found refuge with his wife and seven children at the Zeinab al-Haliyeh school in Tadamun, a southeastern district of the Syrian capital held by the army. 'I saw severed heads. They killed children in front of their parents. We were terrorised,' he said. 'We had heard of their cruelty from the television, but when we saw it ourselves... I can tell you, their reputation is well-deserved,' the 55-year-old said. The school is currently home to 98 displaced people, among them 40 children, who have been put up in three classrooms. The usual occupants, schoolchildren, have been evacuated temporarily from rooms where mattresses and bedding now blanket the floor. 'I left my house which was the only thing I had. My family lived on rations supplied by UNRWA,' the United Nations agency that looks after Palestinian refugees, the former caretaker said. Destroyed: In late December 2012, Yarmouk - just four miles from central Damascus - became a battlefield between pro- and anti-government forces before a merciless siege began . A man stands on a staircase inside a demolished building inside the Yarmouk Palestinian refugee camp . Anwar Abdel Hadi, a Palestine Liberation Organisation official in Damascus, said 500 families, or about 2,500 people, fled Yarmouk before IS fighters attacked the camp last Wednesday. Before the assault, there were around 18,000 people in Yarmouk in a southern neighbourhood of the Syrian capital. Yarmouk was once a thriving district housing 160,000 Palestinian refugees and Syrians. But that was before it too was caught up in the widespread civil unrest which erupted in 2011. In late December 2012, Yarmouk - just four miles from central Damascus - became a battlefield between pro- and anti-government forces before a merciless siege began. The camp has been encircled",cnndm,"A 16 year old Syrian boy, Amjad Yaaqub, has revealed how he saw ISIS playing football with a human head inside the Yarmouk refugee camp after they burst into his family home. The camp, which once housed 160,000 Palestinian refugees and Syrians, has been enclosed by ISIS and has witnessed daily atrocities since the terrorist group seized control. The UN has called the situation in Yarmouk a ""catastrophe"" and has called for urgent action to protect the estimated 18,000 people trapped inside.","A young Syrian boy has reported witnessing ISIS militants playing football with severed heads shortly after being beaten unconscious. Refugees within the besieged Yarmouk refugee camp have spoken of the atrocities they have witnessed since ISIS took control, including innocent children being slaughtered in front of their parents. Yarmouk was a thriving district housing 160,000 Palestinian refugees and Syrians, but became a battlefield in 2012 before being encircled and now under ISIS control."
54,"Fresh fears were raised last night that Greece could exit the eurozone after it was claimed negotiations with its European creditors were ‘not working’. An official at the International Monetary Fund reportedly admitted that he cannot envisage a successful conclusion to the country’s bailout. Greece this week repeated threats to stop paying off its loan and default on its debt if Europe refuses to release more funds. Thomsen's prediction was made as the Greek government repeated previous threats that unless more bail out money was made available then it would stop paying back creditors . This would make it harder for the country to remain in the eurozone, although no state has ever left and there is no official exit process. Poul Thomsen, the IMF's Europe Director has been quoted by the Greek media as saying he could not see a successful conclusion to the country's current bail out. The fund's Europe chief reportedly told his executive board that negotiations were not going as hoped, the Daily Telegraph reported. Thomsen's prediction was made as the Greek government repeated previous threats that unless more bail out money was made available then it would stop paying back creditors. One Greek official has been quoted by the Financial Times as saying that if the European Central Bank did not play ball with the Mediterranean Eurozone member there could be no alternative to a default. Mr. Thomsen also issued a warning over Greece's recent, weak economic performance. He met with Greece's finance minister Yanis Varoufakis earlier this month. Greece repaid a roughly €450 million loan instalment to the International Monetary last week but Athens' financial problems, as outlined by Mr. Thomsen, have renewed fears the country might miss the IMF payment of €200m payment on the 1st May and another for €745m 11 days later. This could lead to he EU member being forced, eventually, to leave the eurozone. The IMF debt stems from Greece's international bailout, under which the country was extended €240 billion in rescue loans from other eurozone countries and the IMF to prevent bankruptcy. Greek finance minister Yanis Varoufakis (left) met with Mr. Thomsen who expressed worry over the Greek economy. Prime Minister Alexis Tsipras' (right) government has been talking with creditors since January . Varoufakis has said that Greece is committed to making its repayments and accepts the fiscal restrictions imposed on the country but within reason. He said at a conference last week that Greece was 'not going to sign on the dotted line of anything you give us just to get the next loan tranche', 'At the very same time,' he added, 'we need to have a fiscal plan that makes sense. At the moment Greece is committed.' However,Greece's new left wing-led government which has been locked in strained negotiations with creditors since winning elections in January continues to hold its recent election victory over the international community. Varoufakis has said that Greece is committed to making its repayments and accepts the fiscal restrictions imposed on the country but within reason . Greece's defence minister Panos Kammenos, whose right-wing",cnndm,"Negotiations between Greece and its European creditors are reportedly 'not working', raising concerns that Greece could exit the eurozone. The IMF's Europe Director, Poul Thomsen, has admitted he cannot see a successful conclusion to the country's bailout. Greece has threatened to stop paying off its loan and default on its debt if more funds are not released.","Negotiations between Greece and its European creditors are causing fears that the country could exit from the eurozone. An International Monetary Fund official has reportedly stated that ""negotiations were not going as hoped"" and that he ""cannot envisage a successful conclusion"" to the bailout. Greece has threatened to stop paying off its loan and default on its debt if Europe does not release more funds, which could lead to the country being forced to leave the eurozone."
55,"Aubrey de Grey (pictured) says ageing is a 'disease that can and should be cured' With his Rasputin beard and lines etched deep into his forehead, Aubrey de Grey looks like a man a lot older than his 51 years. A penchant for beer, fried food and an aversion to exercise could fool you into believing the lanky ex-public schoolboy cares little about ageing. But you would be wrong. For de Grey, a charismatic Harrow School and Cambridge-educated biomedical theorist, firmly believes there is no reason, with the right 'therapies', why any of us shouldn't reach 500, 1,000 or even 5,000 years of age. It sounds bonkers but de Grey's theories have gained him some high-profile supporters in Silicon Valley, the super-rich tech enclave in northern California that is home to more middle-aged billionaires than anywhere else on the planet. PayPal boss Peter Thiel (worth £1.5 billion) donated £2.4 million to de Grey's anti-ageing institute Strategies for Engineered Negligible Senescence (SENS). Senescence is scientific jargon for ageing. While many academics mock him, in age-obsessed California de Grey now regularly breaks bread and funds his research with donations from some of the sharpest minds in the world, including Google co-founders Larry Page and Sergey Brin (who has talked of 'curing death') and Larry Ellison, of Oracle, who are all showing an interest in gerontology, or the study of ageing. Google's Bill Maris, who heads the computer giant's investment arm, said: 'We have tools in the life sciences to achieve anything you have the audacity to envision. I hope to live long enough not to die.' One source at a leading software company told The Mail on Sunday: 'De Grey has tapped a rich vein in Silicon Valley. He's become something of a controversial cheerleader for a generation of tech billionaires who have made their fortunes and now, of course, want to live for ever.' De Grey was raised in Chelsea by his artist mother Cordelia, who left him £11 million when she died in 2011 – £9 million of which he has invested in his company. He spent the remainder on a 'very nice house'. He never knew his father and became fascinated by seeking a cure for ageing while still at Harrow. Scroll down for video . 'Ageing is a disease that can and should be cured,' he says. 'I've been ridiculed but finally people are starting to come round to my way of thinking. Anyone who has ever wanted to change the world has been attacked. Gandhi said first they ignore you, then they ridicule you, then they fight you and then they say, ""We were with you all along"".' De Grey's radical thesis is that ageing can be halted and even reversed by treating the human body like a vintage car – 'replace the parts, clean it up, keep it running smoothly way past its expected expiration date'. His argument is that cellular decay causes ageing, illness and, ultimately, death, and that technologies being developed now and inventions in the future will allow us to repair and replace damaged body",cnndm,"Aubrey de Grey, a biomedical theorist, believes that with the right therapies, people could reach 500, 1,000, or even 5,000 years of age. Despite being mocked by some academics, de Grey’s theories have gained support from high-profile individuals in Silicon Valley, with PayPal boss Peter Thiel donating £2.4m to de Grey’s anti-ageing institute. De Grey’s thesis is that ageing can be halted or even reversed by treating the human body like a vintage car: ‘replace the parts, clean it up, keep it running smoothly way past its expected expiration date.’","Aubrey de Grey, the biomedical theorist, believes that with the right ""therapies"", it is possible for humans to live up to 5,000 years of age, treating ageing like a disease that can and should be cured. His theories have gained supporters such as PayPal's Peter Thiel and Google's co-founders, who have an interest in gerontology. De Grey's radical thesis argues that cellular decay causes ageing, illness and ultimately death, and that technology will allow us to repair and replace damaged body parts, potentially reversing ageing."
56,"Jose Mourinho praised John Terry's performance against Arsenal - hailing it as the Chelsea captain's best under him. Terry was at the heart of another impressive Chelsea defensive display as the Premier League leaders kept a clean sheet during Sunday's 0-0 draw at the Emirates. ‘I told John Terry in the dressing room that he has produced some fantastic performances with me but this was his best,’ said Mourinho. John Terry (centre) celebrates Chelsea's hard earned point against Arsenal at the Emirates on Sunday . Terry stretches for the ball but just misses it, catching Arsenal striker Olivier Giroud on the thigh . Terry (left) was at the heart of Chelsea's solid defensive display against Arsenal . ‘It was the best JT has ever played. It was absolutely amazing. One performance at Highbury, I think in my first season, that was a fantastic performance, too. ‘But today everything was clean: giving cover, the defensive line, interceptions, reading the game so well, interceptions with a pass. The team were phenomenal, but John was one step ahead of every other player.’ Terry's performance also drew praise from Sky Sports pundit and Sportsmail columnist Jamie Carragher, who said the 34-year-old was the best defender to play in the Premier League era. Carragher said: ‘I think Hazard will win it [Player of the Year] but Terry is just behind Hazard as he has been the most inspirational. 'We always talk about Chelsea being defensive and he's the best. I think John Terry is the best defender to have played in the Premier League. 'We will be talking about the John Terry position in 20 to 30 years. We have never seen anyone better at reading play and defending the front post.’ Fellow Sky pundit Thierry Henry also praised Terry for bouncing back in the past two seasons under Mourinho, having at times struggled under previous Chelsea managers Rafa Benitez and Andre Villas-Boas: . He said: ‘You have to give him a lot of credit because he has reacted after being left on the bench under Rafa Benitez.’ Chelsea manager Jose Mourinho was full of praise for Chelsea's captain after his performance .",cnndm,"Jose Mourinho has praised John Terry's performance during Sunday's game against Arsenal, hailing it as the best Terry has produced under his command. Terry's performance during the game drew praise from Sky Sports pundit and Sportsmail columnist Jamie Carragher, who has said that Terry is the best defender to have played in the Premier League era. Fellow pundit Thierry Henry also praised Terry for his resurgence over the last two years under Mourinho, following periods of struggle under previous Chelsea managers.","Chelsea captain, John Terry has been praised for his performance in their 0-0 draw against Arsenal, with Chelsea boss, Jose Mourinho, hailing it as Terry's best, stating the defender was one step ahead of every other player; Sky Sports pundit, Jamie Carragher, also hailed Terry as the best defender to play in the Premier League era. Mourinho also praised the whole team for their “phenomenal” performance which saw them keep a clean sheet at the Emirates; previously struggling under former managers Rafa Benitez and Andre Villas-Boas, Terry has bounced back over the past two seasons."
57,"Bradford have launched an investigation into reports that cars were vandalised during Sunday's Ladbrokes Challenge Cup fifth-round defeat by Hull KR. The Championship club say three cars were broken into and damaged within the Richard Dunn Sports Centre car park, situated opposite the Provident Stadium, Odsal, and the Bulls are appealing for witnesses. Bulls' stadium manager Mark Leadbeater said: 'We are working closely with Bradford Council, Richard Dunn Sports Centre and West Yorkshire Police in order to get to the bottom of this. Three cars were broken into during the match against Hull KR at Odsal Stadium on Sunday . 'Since (Monday) morning we have been informed of similar incidents which have occurred recently, in local car parks throughout the area. 'However, we are now doing all we can to ensure the Richard Dunn Sports Centre car park remains an ideal, safe place for supporters to park their cars in on game days. 'Rest assured we will leave no stone unturned in our efforts to help find those responsible for the damage and in ensuring our car parks are fully secure in the future.'",cnndm,"Bradford Bulls are investigating reports of cars being vandalised during their Ladbrokes Challenge Cup match against Hull KR. The cars were parked in the Richard Dunn Sports Centre car park, opposite the Provident Stadium. The Bulls are appealing for witnesses and working with Bradford Council, Richard Dunn Sports Centre, and West Yorkshire Police to ensure safety in their car parks.","Bradford Bulls are investigating incidents where three cars were broken into and damaged during their Challenge Cup defeat to Hull KR. The Richard Dunn Sports Centre car park, opposite the Provident Stadium, was the site of the vandalism and the Bulls are appealing for witnesses. Further incidents were also reported in other local car parks and the club is working with the council, the sports centre, and police to ensure the car park is safe for future match days."
58,"English cricket’s new bosses flexed their muscles when Paul Downton paid the price for a humiliating World Cup by being sacked as managing director. Downton was fired by new ECB chief executive Tom Harrison, in conjunction with chairman-elect Colin Graves, after a ring-round to each of the 14 members of the governing body’s management board ahead of their spring meeting today. The decision to sack a man who has endured a traumatic 14 months since succeeding Hugh Morris after England’s Ashes whitewash was unanimous, with one board member saying Downton was just ‘too accident prone’. Paul Downton has left his role as managing director of England and Wales Cricket Board . Downton leaves his role as ECB managing director following England's shameful performance at World Cup . It was Downton who took the huge call to sack Kevin Pietersen and then re-appointed Peter Moores, calling him ‘the outstanding coach of his generation’. He also oversaw the sacking of Alastair Cook as one-day captain. Former England captain Michael Vaughan immediately said he would like to speak to the ECB about the newly created job of director of England cricket and Andrew Strauss is another possible candidate. Ultimately it was England’s failure to negotiate the first round of the World Cup after an embarrassing defeat by Bangladesh and crushing reverses against Australia and New Zealand, coupled with disenchantment at their management style from many supporters, that did for former England and Middlesex wicketkeeper-batsman Downton. ‘The England Cricket Department needs to deliver performance at the highest level and our structure needs to be accountable for reaching the standards we aspire to,’ said Harrison in an ECB statement. ‘The new role we are putting in place will deliver an environment where world-class performance is at the heart of everything we do.’ Michael Vaughan (left) immediately threw his hat in the ring to replace the departed Downton . Vaughan's successor as England captain, Andrew Strauss (centre), is also thought to be a contender . That new role will be director of England cricket, a subtle but crucial change of title which will take the business aspect of the role away from the new man and effectively make him a supremo and, possibly, head selector. That makes James Whitaker, now the national selector, extremely vulnerable even though England won the last three Tests they played last summer and he could leave as soon as today’s board meeting at Lord’s. Yet Harrison played down any suggestion that this makes Moores, still with much to prove in his second coming as England coach, more vulnerable and that the door could now be nudged further ajar for the return of Pietersen, who has rejoined Surrey after being apparently encouraged by Graves. ‘This doesn’t impact on Peter Moores’ position at all,’ Harrison said later on Sky. ‘This is with respect to delivering an environment for the future.’ Downton's job description has been abolished as a result following England's dismal World Cup showing . England selector James Whitaker (left) and former managing director Downton during a nets session . Moores (from left to",cnndm,"Paul Downton has been sacked as managing director of the England and Wales Cricket Board following England’s dismal World Cup performance; he had remained in the job for 14 months after a torrid period in which many felt he was “too accident prone”. The decision to sack Downton was unanimous, with one board member stating that ""The England Cricket Department needs to deliver performance at the highest level and our structure needs to be accountable for reaching the standards we aspire to."" Michael Vaughan has already shown an interest in the newly created role of director of England cricket.
","Paul Downton, Managing Director of the England and Wales Cricket Board, has been sacked after a unanimous decision by the board; he has been heavily criticised over the last year since he succeeded Hugh Morris. Speculation is now surrounding who will replace him, with Michael Vaughan and Andrew Strauss two possible candidates. Furthermore, the board also appears to be looking at potentially replacing James Whitaker, the current national selector."
59,"Manchester United defender Chris Smalling took a trip down memory lane as the 25-year-old went back to his old judo club. Photos of the visit, during which he presented some members with replica United jerseys, were posted on the International Judo Federation's official Twitter account alongside a flashback picture of Smalling as a youngster. The England international, who only made the decision to join the social networking site on Friday, excelled at the martial art as a teen and was even named national champion for his age group, before football took precedence at 15. The International Judo Federation shares pictures of Chris Smalling taking the time to visit his old club . Smalling was a gifted martial artist and was at one stage named national judo champion for his age group . The Manchester United defender presents some replica jerseys to some of the members of the club . Smalling began his footballing career with minnows Maidstone United in Kent, before a string of impressive performances saw him snapped up by then Premier League side Fulham in 2008. After only a handful appearances for the Cottagers, his talent was clear and Smalling signed for Manchester United one year later. It has been a remarkable rise for the former Chatham Grammar School student, who if football had not worked out, was set to study Business Management at Loughborough University, having gained a decent set of A-Levels. Smalling will be hoping to make manager Louis van Gaal's starting line up for the crunch clash with local rivals Manchester City this weekend, as United aim to finish the league campaign in the top-four. Smalling (right) trains with his United team-mates at the Aon training complex ahead of this weekend's game . Smalling (right) heads the ball ahead of Manchester City striker Stefan Jovetic (left) earlier on this season .",cnndm,"Manchester United defender Chris Smalling visited his old judo club, presenting some members with replica United jerseys, and taking the time to visit his old club. Smalling was a talented martial artist, being named national champion for his age group before football took precedence, however, he began his career with Maidstone United and then signed with Manchester United following a string of impressive performances for then-Premier League side Fulham. Smalling will be hoping to make manager Louis van Gaal's starting line up for the derby against Manchester City this weekend, as United aim to finish the league campaign in the top-four.","Manchester United defender Chris Smalling visited his old judo club, presenting some members with replica United jerseys. Smalling was a talented martial artist in his teens, even being named national champion for his age group, before deciding to focus on football. The 25-year-old will be hoping to make the starting line-up for Manchester United's upcoming game against local rivals Manchester City."
60,"We all know the time-consuming hassle of having to hoover the house, so it is perhaps no surprise to find that sailors on board this Russian aircraft carrier also got bored of sweeping the decks. What is perhaps more surprising is their solution to the problem, which involved strapping an old jet engine to the front of a tractor, and using the contraption as a huge leaf-blower. The crew of the Admiral Kuznetsov, Russia's largest warship, came up with the novel idea to help keep the deck clear of debris which poses a major risk to jet planes taking off and landing. Russian sailors on board the Admiral Kuznetsov, the country's largest aircraft carrier, have come up with an inegnious way of cleaning the decks, by strapping an old MiG-15 engine to the front of a tractor . Debris on carrier decks can potentially get sucked into jet engines, so crew are usually required to do manual sweeps of the deck, but the crew of the Kuznetsov decided to do away with that bother . Even a single stray nut or bolt, if sucked into one of the fighter plane's engines, could spell disaster for the pilot, and cause millions of dollars worth of damage. Usually crew members are forced to go around manually checking for stray objects, using sweeper vehicles to help tidy them up. But with 14,700sq ft of deck space to check and recheck every single day, the crew of the Kuznetsov decided to do away with that bother, and took a more direct approach. According to blog Foxtrot Alpha, the sailors have attached an old MiG-15 engine to the front of a tractor, before fitting the front end with a diffuser, spreading the air out over the ship's deck. The vehicle is then driven up and down the 1,000ft-long deck, blowing all debris overboard. The massive Kuznetsov is the jewel in President Putin's military fleet, carrying a total of 18 fighter jets and 17 anti-submarine helicopters. The ingenious crew members fitted the old MiG engine with a diffuser, spreading the air out over the deck, and use the contraption like an enormous leaf blower, sending debris overboard . The Kuznetsov has a deck spanning 14,700sqft, so rather than search the entire thing by hand, Russian sailors built themselves a giant leaf-blowing machine instead . Bristling with anti-aircraft cannons, rocket batteries, gatling guns and underwater missiles, it weighs in at 43,000 tons and carries 1,690 crew. However, that is nothing compared to the US Nimitz Class aircraft carriers, the tenth and last of which, the George HW Bush, was commissioned in 2009. The ship weighs 102,000 tons, is powered by two on board nuclear reactors and is capable of carrying almost 6,000 crew and air company who pilot its 90 aircraft and helicopters. The UK's largest carrier in the HMS Queen Elizabeth, weighing in at 65,00 tonnes, it carries 40 jets and helicopters, along with 1,600 crew. The Kuznetsov is the largest carrier in the Russian Navy, built it 1985 it carries 18 fighter jets, 17 anti-submarine helicopters and",cnndm,"Sailors on board the Admiral Kuznetsov, Russia's largest aircraft carrier, have attached an old MiG-15 engine to the front of a tractor to create a huge leaf-blower to keep the decks free of debris. Crews sweep the decks manually to prevent debris from getting sucked into jet engines, but with 14,700sq ft of deck space, the crew decided to take on the task more directly. The Kuznetsov weighs in at 43,000 tons, carries 1,690 crew, and 18 fighter jets and 17 anti-submarine helicopters.","Russian sailors aboard the Admiral Kuznetsov aircraft carrier have created an improvised leaf-blower using an old MiG-15 engine strapped to a tractor. The contraption was created to avoid the time-consuming task of manually sweeping the carrier's vast 14,700 sqft deck, which poses a major risk to any jet planes taking off and landing. The vessel carries 18 fighter jets and 17 anti-submarine helicopters, and even a single stray nut or bolt could spell disaster for the pilots and, possibly, cause millions of dollars worth of damage."
61,"A breakthrough has been made in the development of clean hydrogen power, scientists claim. At the moment, while hydrogen fuel is appealing, the production of hydrogen is incredible difficult - requiring huge amounts of energy. But the researchers say they have made a new material that can generate hydrogen from water, meaning it is less reliant on fossil fuels. Hydrogen-fuel is appealing for use in cars like the Vauxhall Zafira minivan pictured, but producing hydrogen requires huge amounts of energy. With the new breakthrough, it could be possible to make it more easily . Researchers at the University of Bath and Yale University created the invention. It uses a newly designed molecular catalyst to split water in an electrolyser and create clean and storable hydrogen fuel. Lead research Dr Ulrich Hintermair told MailOnline that the main problem with the production of hydrogen through a process known as water electrolysis was the waste oxygen it produces. Water splitting is an electro-chemical process in which two electrodes generate oxygen and hydrogen from water, respectively. The energy required to drive this process gets locked up in the hydrogen as the fuel with oxygen as a by-product. A fuel cell can then harness the energy again elsewhere by recombining the two. The new patented catalyst is more efficient at performing the crucial oxidation half of the reaction than any other existing material, minimising energy losses in the electricity-to-hydrogen conversion process. It can be directly applied to various electrode surfaces in a straightforward and highly economical manner. The process splits water into hydrogen and oxygen but, while the first part can be done quite efficiently, the latter was more difficult and lots of energy is lost. With this in mind the team designed a catalyst - a substance that alters the speed of the chemical reaction - to improve the efficiency. ‘Oxygen is the most difficult bit,’ Dr Hintermair explained. Their catalyst, placed on an electrode used in the production of hydrogen, is much more efficient - and although Dr Hintermair didn’t have an exact figure, he said the energy loss using it is ‘almost non-existent’. The major benefit from this breakthrough is that hydrogen could now be used more easily as a way to store energy from renewable sources like wind and solar. ‘We can make electricity out of sunlight and wind, low carbon renewable sources, but we can’t store it very well,’ Dr Hintermair continued. ‘We can put it in a battery but you can’t, for example, fly an airplane on a battery yet. ‘So we need to convert it into a chemical fuel, and for that water electrolysis is a key technology because we can take any renewable technology, connect it to an electrolyster and store it in hydrogen, which is a fantastic fuel.’ This, for example, would make hydrogen fuel cells for cars much more economical. On this right in this image is the catalyst being used in the water electrolysis process. The large bubbles are oxygen, while the smaller bubbles on the left are hydrogen . The team are in discussions with",cnndm,"Researchers at the University of Bath and Yale University have developed a new material that can generate hydrogen from water, making clean hydrogen power more viable. The process currently requires large amounts of energy and creates waste oxygen. However, the new patented catalyst has improved efficiency, and will enable hydrogen to be used more easily as a way to store energy from renewable energy sources like wind and solar.","A team of researchers from the University of Bath and Yale claim to have made a breakthrough in the development of clean hydrogen power. Currently, producing hydrogen requires vast amounts of energy but the team has created a new material that can generate hydrogen from water, thereby reducing reliance on fossil fuels. The new patented catalyst could be used to store energy from renewable sources, such as wind and solar, for use in hydrogen fuel cells for cars."
62,"(The Hollywood Reporter)Roseanne Barr has revealed that she is slowly going blind. In an interview with The Daily Beast, Barr said she suffers from macular degeneration and glaucoma and told the website, ""My vision is closing in now."" The comedic actress said smoking marijuana is ""good medicine"" for relieving the pressure in her eyes. Tribeca 2015: 9 Must-see films . ""It's something weird. But there are other weird things. That one's harsh, 'cause I read a lot, and then I thought, 'Well, I guess I could hire somebody to read for me and read to me.' But I like words and I like looking. You do what you have to do. I just try and enjoy vision as much as possible -- y'know, living it up. My dad had it, too,"" the actress said. Barr also defended her use of pot, saying, ""It's expansive. It opens your mind"" and ""It makes you wonder. It doesn't close that down."" Roger Ailes: Why Fox News will never hire Jon Stewart . Doctors have not given Barr a definitive timeline on when she can expect to lose all visibility. The actress attended the Tribeca Film Festival in support of her documentary ""Roseanne for President!"" Directed by Eric Weinrib, the film follows Barr in her unsuccessful attempt to become the Green Party's 2012 presidential nominee. The Peace and Freedom Party eventually made Barr its nominee.",cnndm,"Roseanne Barr has revealed that she is slowly going blind due to macular degeneration and glaucoma. She stated in an interview that smoking marijuana is ""good medicine"" for relieving the pressure in her eyes. However, doctors have not given her a definitive timeline on when she can expect to lose all visibility.","Actress and comedian Roseanne Barr has revealed that she is slowly going blind due to macular degeneration and glaucoma, but has found relief from the pressure in her eyes by smoking marijuana. Barr said she enjoys words and looking, but will hire someone to read to her if necessary. The actress defended her use of pot, stating that it expands the mind and makes one wonder.&nbsp;"
